,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
1999-05-31,1750.192,1778.1028,1866.8724,1847.6343,,,,,,
1999-06-30,1767.803,1876.7835,1876.7835,1767.803,,,,,,
1999-07-31,1818.1814,1818.1814,1940.7583,1888.1491,,,,,,
1999-08-31,1754.3278,1809.186,1892.8658,1817.2701,,,,,,
1999-09-30,1739.9179,1759.5892,1860.1499,1824.1989,,,,,,
1999-10-31,1711.7657,1870.9372,1870.9372,1759.7648,,,,,,
1999-11-30,1850.1265,1908.9697,1957.8737,1858.8613,,,,,,
1999-12-31,1921.4921,2021.4006,2021.4006,1921.4921,,,,,,
2000-01-31,1872.6122,1919.8405,2016.6433,2002.1132,,,,,,
2000-02-29,1837.6968,1883.4989,1985.4922,1940.2442,,,,,,
2000-03-31,1869.3263,2067.7595,2107.277,1901.5066,,,,,,
2000-04-30,1872.55,2005.5492,2092.8727,2077.9715,,,,,,
2000-05-31,1898.9389,1964.4013,2027.3952,2027.3952,,,,,,
2000-06-30,1994.3305,2012.8298,2055.835,2003.446,,,,,,
2000-07-31,1966.1995,1981.3612,2091.143,2033.5766,,,,,,
2000-08-31,1991.4284,2104.4323,2104.4323,1991.4284,,,,,,
2000-09-30,1979.3094,1993.3323,2108.7558,2108.7558,,,,,,
2000-10-31,1846.0844,1984.9046,1993.6966,1992.9438,,,,,,
2000-11-30,1828.4162,1828.4162,1989.1918,1973.7165,,,,,,
2000-12-31,1759.6166,1837.3647,1919.6474,1828.8055,,,,,,
2001-01-31,1785.8598,1902.5527,1913.1257,1785.8598,,,,,,
2001-02-28,1729.0748,1729.0748,1913.1127,1913.1127,,,,,,
2001-03-31,1559.6483,1619.5375,1764.394,1730.9155,,,,,,
2001-04-30,1540.1664,1745.3924,1750.9836,1599.3549,,,,,,
2001-05-31,1741.3315,1757.0859,1836.0215,1769.1204,,,,,,
2001-06-30,1691.5869,1714.3208,1795.9618,1763.8718,,,,,,
2001-07-31,1641.7599,1697.4447,1731.5309,1731.5309,,,,,,
2001-08-31,1584.7728,1591.1819,1711.1739,1704.2402,,,,,,
2001-09-30,1356.6089,1462.6903,1590.2934,1590.2934,,,,,,
2001-10-31,1459.3334,1490.582,1553.2567,1459.3334,,,,,,
2001-11-30,1524.9625,1604.919,1629.758,1524.9625,,,,,,
2001-12-31,1577.5774,1618.9788,1649.0041,1591.4777,,,,,,
2002-01-31,1553.2332,1595.3525,1653.6897,1628.5061,,,,,,
2002-02-28,1525.2629,1564.5862,1584.0614,1584.0614,,,,,,
2002-03-31,1600.0235,1623.4289,1655.4431,1600.0235,,,,,,
2002-04-30,1508.7515,1525.0038,1622.2262,1622.2262,,,,,,
2002-05-31,1486.5706,1513.7686,1569.1702,1538.6463,,,,,,
2002-06-30,1382.7828,1405.9435,1489.8781,1476.2585,,,,,,
2002-07-31,1133.9877,1296.344,1405.1955,1375.8789,,,,,,
2002-08-31,1187.0718,1304.8553,1370.8481,1258.2179,,,,,,
2002-09-30,1163.0445,1163.0445,1296.2515,1250.6779,,,,,,
2002-10-31,1108.9094,1265.4107,1284.7272,1209.5896,,,,,,
2002-11-30,1252.4185,1339.8917,1343.4711,1287.1273,,,,,,
2002-12-31,1254.6553,1261.1763,1337.3448,1337.3448,,,,,,
2003-01-31,1212.228,1228.1378,1336.2455,1303.1732,,,,,,
